,titles,prices,descs,small_imgs,big_imgs1,big_imgs2,big_imgs3,energys,carbonhydrates,proteins,fats,minerals,vitamins,is_in_stock,harvest_year,measures
40,Stanley Plums,$4.25," Description Description text how product was grown and reserved. All nutrition features that interest user goes here as well. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum. ",https://cdn.shopify.com/s/files/1/1148/3974/products/Stanley-Plums-Above_grande.jpeg?v=1456211110,https://cdn.shopify.com/s/files/1/1148/3974/products/Stanley-Plums-Above.jpeg?v=1456211110,https://cdn.shopify.com/s/files/1/1148/3974/products/Stanley-Plum-perspective.jpeg?v=1456211110,https://cdn.shopify.com/s/files/1/1148/3974/products/Stanley-Plum-Cut-off.jpeg?v=1456211110,46 kcal,11.42 g,0.7g,0.28 g, Ca Fr Mg Mn P Zn , a b1 b2 b3 b5 b6 c e k , In stock , Harvest 2015 , kg 
41,Strawberries,$2.85," The heart-shaped silhouette of the strawberry is the first clue that this fruit is good for you. These potent little packages protect your heart, increase HDL (good) cholesterol, lower your blood pressure, and guard against cancer. ",https://cdn.shopify.com/s/files/1/1148/3974/products/strawberries_grande.jpg?v=1473489009,,,,33 kcal,8 g,0.7 g,0.3 g,,, In stock , Harvest 2016 , lb 
42,Sweet Grapes,$15.00, Description Thompson seedless grapes are one of the world's most popular eating grapes. It has a perfect refreshing sweet taste. What's the best of it that they can be a dessert itself or used in some sort of fruit salad seasoned with any condiment or juice. ,https://cdn.shopify.com/s/files/1/1148/3974/t/18/assets/img_no_image.jpg?0,,,,0.1 g,0.5g,,, Ca Fr Mg Mn P Zn , a b1 b2 b3 b5 b6 c e k , kg , In stock , kg 
43,Thompson Seedless Grapes,$6.05, Description Thompson seedless grapes are one of the world's most popular eating grapes. It has a perfect refreshing sweet taste. What's the best of it that they can be a dessert itself or used in some sort of fruit salad seasoned with any condiment or juice. ,https://cdn.shopify.com/s/files/1/1148/3974/products/Thompson-Seedless-Grape_grande.jpeg?v=1456211160,https://cdn.shopify.com/s/files/1/1148/3974/products/Thompson-Seedless-Grape.jpeg?v=1456211160,https://cdn.shopify.com/s/files/1/1148/3974/products/Thompson-Seedless-Grape-close-up.jpeg?v=1456211160,,0.1 g,0.5g,,, Ca Fr Mg Mn P Zn , a b1 b2 b3 b5 b6 c e k , In stock , Harvest 2015 , kg 
44,Veg Mixed Spice,$8.14," Description Vegetables can be useful in any state fresh, boiled, grilled and even dried. This is a mixture of our favorite and so native vegetables wrapped up into the mix of flavors. Veg Mixed Spice contains dried carrots, onion, leek, bell pepper, chilli pepper, garlic, basil, oregano, marjoram, allspice and black and white pepper. Feel free to add spice to any of your boiled, stewed or baked dishes. It will make your meat food aromatic and particularly tasty. ",https://cdn.shopify.com/s/files/1/1148/3974/products/Veg-Mixed-Spice_grande.jpeg?v=1456211007,https://cdn.shopify.com/s/files/1/1148/3974/products/Veg-Mixed-Spice.jpeg?v=1456211007,https://cdn.shopify.com/s/files/1/1148/3974/products/Three-Spice-Spoons.jpeg?v=1456211007,https://cdn.shopify.com/s/files/1/1148/3974/products/Spice-Plates.jpeg?v=1456211007,,,,,,, In stock , Harvest 2014 , g 
45,Veggie Balls,$29.99," Pack includes beetroot, spinach, eggplant, walnut and recipe for this delicious vegetarian meal (4 persons) that will impress even the most pernickety guest ",https://cdn.shopify.com/s/files/1/1148/3974/products/pack-image_grande_3837a501-1d78-48f6-8030-3f50a78faa16_grande.png?v=1478095494,,,,,,,,,, kg , In stock , kg 
46,Vit-plate,$24.89," Description A special offer consists of 3 items that are full of freshness and energy. Exactly what you need in the morning to start your day and be ready for new challenges. That's why we picked 1 kg of Maynard plums, 1 kg of Thompson Seedless grape and 1 kg of peaches and 1 kg of Stanley plums. All these items are carefully packed into a wooden box so there is no worries about shopping. Everything will be delivered on time and in proper shape. And of course, it is a discount offer where you save 15%. Safe and sound gets a new meaning ;) ",https://cdn.shopify.com/s/files/1/1148/3974/products/plums_wideangle_grande_66dba985-63ff-4613-b0af-f3074b9e3b2b_grande.jpg?v=1458054271,https://cdn.shopify.com/s/files/1/1148/3974/products/plums_wideangle_grande_66dba985-63ff-4613-b0af-f3074b9e3b2b.jpg?v=1458054271,https://cdn.shopify.com/s/files/1/1148/3974/products/Thompson-Seedless-Grape_1a307bce-03ad-4153-aa6c-25d6919b5a31.jpeg?v=1458054271,https://cdn.shopify.com/s/files/1/1148/3974/products/Maynard-plum-close-up_740952ff-7591-4c06-b829-0c20b04f583d.jpeg?v=1458054271,,,,,,, In stock , Harvest 2015 , kg 
47,Winter Pumpkin,$3.29," Description Winter pumpkins are a delicious addition to your cold season meal. Choose red or green compact versions of this special cultivar to cook Heaven-and-Earth Tempura Cakes or Pumpkin Puree with Ginger. Its distinctive bottom with a circular ridge, though, gives it away. On some, the ridge may surround a more pronounced bump, or ""turban."" A freshly cut buttercup may smell like a clean, fragrant cucumber, but once cooked, its orange flesh becomes dense, a bit dry, and very mild. ",https://cdn.shopify.com/s/files/1/1148/3974/products/Pumpkins-_horizontal_grande.jpeg?v=1456211157,https://cdn.shopify.com/s/files/1/1148/3974/products/Pumpkins-_horizontal.jpeg?v=1456211157,https://cdn.shopify.com/s/files/1/1148/3974/products/Pumpkins.jpeg?v=1456211157,https://cdn.shopify.com/s/files/1/1148/3974/products/Pumpkins-behind-grens.jpeg?v=1456211157,26 kcal,6.5 g,,0.1 g, Ca Fr Mg Mn P K Zn , a b1 b2 b3 b5 b6 b9c e k , In stock , Harvest 2014 , kg 
48,Wooden Bowls,$103.99," Richly grained acacia wood turns out in smooth, sculptural serving essentials, naturally suited to everyday use, entertaining or artful display. Bowls round in organic curves to hold salads, snacks, fruit or collectibles. Each piece is given a clear lacquer finish to bring out the wood's warm color and individual markings. Harvested from well-managed forests in the Philippines under close supervision of the local government's reforestation program. ",https://cdn.shopify.com/s/files/1/1148/3974/products/bowl_grande.jpg?v=1473490962,,,,,,,,,, In stock , Alder wood , oz 
49,Wooden Spoon,$49.99," Richly grained acacia wood turns out in smooth, sculptural serving essentials, naturally suited to everyday use, entertaining or artful display. Spoon rounds in organic curves to hold salads, snacks, fruit or collectibles. Each piece is given a clear lacquer finish to bring out the wood's warm color and individual markings. Harvested from well-managed forests in the Philippines under close supervision of the local government's reforestation program. ",https://cdn.shopify.com/s/files/1/1148/3974/products/spoon_grande.jpg?v=1473490998,,,,,,,,,, In stock , Alder wood , lb 
